Num_Train_Samples,Num_Epochs,Learning_Rate,Test_Loss,Test_Accuracy
0,0,0.1,0.6642277157306671,79.0
0,0,0.2,0.9309923055768013,25.0
0,0,0.30000000000000004,1.1330718994140625,25.0
0,0,0.4,0.4443678531050682,80.0
0,0,0.5,0.6362943187355995,54.0
0,10,0.1,0.7941059428453445,18.0
0,10,0.2,0.5352707333862782,65.0
0,10,0.30000000000000004,0.578086368739605,75.0
0,10,0.4,0.8043168246746063,27.0
0,10,0.5,0.7331414949893952,52.0
0,20,0.1,0.9791332876682282,18.0
0,20,0.2,0.6388458776473999,48.0
0,20,0.30000000000000004,0.6732554715871811,77.0
0,20,0.4,0.6310287570953369,79.0
0,20,0.5,0.7878735488653184,50.0
0,30,0.1,0.8180550396442413,28.999999999999996
0,30,0.2,0.6515542942285538,54.0
0,30,0.30000000000000004,0.7305387246608734,52.0
0,30,0.4,0.4683828181028366,79.0
0,30,0.5,0.7922820544242859,27.0
0,40,0.1,0.6489041155576706,68.0
0,40,0.2,0.537135309278965,75.0
0,40,0.30000000000000004,0.6214395242929459,75.0
0,40,0.4,0.7295785742998123,27.0
0,40,0.5,0.447430020570755,74.0
0,50,0.1,0.5105319485068321,78.0
0,50,0.2,0.9766725540161133,26.0
0,50,0.30000000000000004,0.8881114411354065,0.0
0,50,0.4,1.1607150089740754,32.0
0,50,0.5,0.5007744812965393,76.0
0,60,0.1,1.235636191368103,24.0
0,60,0.2,0.7919524270296097,22.0
0,60,0.30000000000000004,0.6475707995891571,72.0
0,60,0.4,0.8919500404596329,28.999999999999996
0,60,0.5,0.6060020259022713,48.0
0,70,0.1,0.9191020882129669,0.0
0,70,0.2,0.6886082094907761,49.0
0,70,0.30000000000000004,0.49621773570775984,100.0
0,70,0.4,1.2267964795231818,27.0
0,70,0.5,1.08332892537117,30.0
0,80,0.1,0.7965735590457916,0.0
0,80,0.2,1.1134622883796692,24.0
0,80,0.30000000000000004,1.1209188663959504,28.000000000000004
0,80,0.4,0.6733889907598496,49.0
0,80,0.5,0.8823018079996109,0.0
0,90,0.1,0.6678087276220321,77.0
0,90,0.2,0.6659907945990562,67.0
0,90,0.30000000000000004,0.5570256289839745,69.0
0,90,0.4,1.02894377887249,18.0
0,90,0.5,0.4500547417998314,80.0
0,100,0.1,0.6489660167694091,78.0
0,100,0.2,0.5516509193181992,68.0
0,100,0.30000000000000004,0.5231991428136825,78.0
0,100,0.4,0.8865590435266495,25.0
0,100,0.5,1.1587505328655243,24.0
10,0,0.1,0.7496079796552658,51.0
10,0,0.2,0.7240280771255493,23.0
10,0,0.30000000000000004,0.43031892597675325,81.0
10,0,0.4,0.9525741225481034,0.0
10,0,0.5,0.654281775355339,74.0
